Date,EREITs return,MREITs return
12/30/2016,4.46,0.65
1/31/2017,0.17,1.6
2/28/2017,4.01,5.77
3/31/2017,-1.57,3.13
4/28/2017,0.43,3.46
5/31/2017,-0.13,-1.32
6/30/2017,1.96,2.51
7/31/2017,1.27,0.43
8/31/2017,0.64,1.53
9/29/2017,-0.79,1.5
10/31/2017,0.13,-3.14
11/30/2017,2.65,0.57
12/29/2017,-0.29,2.45
1/31/2018,-2.95,-6.91
2/28/2018,-7.27,-3.26
3/29/2018,3.71,6.54
4/30/2018,0.52,0.44
5/31/2018,3.6,2.73
6/29/2018,4.18,1.48
7/31/2018,0.61,3.8
8/31/2018,2.78,0.18
9/28/2018,-2.45,-1.01
10/31/2018,-2.65,-1.8
11/30/2018,4.75,1.75
12/31/2018,-7.89,-5.65
1/31/2019,11.58,9.08
2/28/2019,0.54,-0.97
3/29/2019,4.45,1.93
4/30/2019,-0.23,1.93
5/31/2019,0.64,-6.9
6/28/2019,1.37,5.13
7/31/2019,1.54,2.31
8/30/2019,4.14,-6.48
9/30/2019,1.88,6.7
